Tmed_472897F0;Tmed_472976F8;Tmed_4727C11E
15.4;12.9;12.2
15.3;14.1;12.8
15.6;13.9;12.9
14.5;13.6;12.6
14.6;13.0;11.8
14.8;11.5;11.8
14.1;12.4;11.4
14.6;12.5;11.6
13.4;11.9;11.2
13.2;11.6;10.6
14.8;13.1;11.7
15.2;11.5;11.3
15.5;12.8;12.1
15.6;14.2;13.7
15.9;12.6;12.4
14.9;13.9;12.4
14.6;14.2;12.3
15.4;14.7;12.5
15.9;14.2;12.5
15.1;13.0;12.3
15.3;12.6;11.9
15.6;12.2;12.2
15.5;12.8;12.0
14.4;12.6;11.3
14.6;11.6;11.2
14.7;11.3;11.3
13.8;12.7;11.3
14.0;12.1;11.3
12.5;10.3;9.8
12.5;12.1;9.6
12.2;9.9;9.0
13.6;10.7;10.0
14.2;10.3;10.8
13.6;10.4;9.8
12.3;11.0;9.8
13.1;12.0;9.9
14.6;12.4;10.6
14.5;12.2;11.2
14.8;12.6;11.5
14.4;11.1;10.5
12.4;11.2;10.1
11.9;12.2;9.5
11.5;10.1;NA
13.1;10.1;9.8
13.6;9.8;9.9
14.3;9.6;10.2
14.4;11.3;10.7
15.2;13.3;11.5
14.3;11.8;10.9
14.9;11.2;11.5
15.7;11.4;12.5
15.8;11.0;11.7
13.9;11.2;11.0
14.4;12.0;10.9
13.9;12.0;11.1
14.2;11.7;10.9
13.6;10.7;10.4
13.3;10.9;10.3
12.9;10.7;9.9
13.7;10.1;9.5
13.5;10.3;9.2
14.1;11.4;10.7
15.1;12.1;11.2
14.9;11.9;11.3
14.3;11.1;11.4
13.0;10.6;10.4
11.6;10.5;9.1
11.0;8.5;NA
13.9;9.8;9.9
13.7;10.8;10.2
13.7;13.5;11.1
14.1;12.2;11.5
14.1;10.8;11.1
14.3;11.2;11.1
14.8;12.3;11.9
14.5;10.2;10.4
13.5;11.1;10.5
11.9;10.8;9.7
13.6;10.2;9.5
15.2;11.1;11.6
14.1;11.3;10.6
14.4;11.1;10.7
15.0;11.1;11.1
15.6;12.0;11.2
15.6;11.8;11.5
15.2;11.8;11.9
14.6;12.5;11.3
15.2;13.0;12.4
15.3;13.6;12.6
15.4;12.6;12.7
15.2;13.4;12.1
16.0;13.0;12.8
15.7;14.2;13.1
12.6;12.9;10.3
14.6;13.6;11.7
15.9;13.6;13.0
15.6;12.6;11.8
15.2;12.5;11.7
13.0;13.8;11.9
13.8;15.6;12.1
15.4;13.8;12.6
13.8;13.3;11.3
15.4;12.3;11.7
15.9;12.1;12.5
16.2;13.3;12.9
16.2;13.9;12.3
12.4;12.8;10.4
10.7;9.7;NA
11.5;11.7;9.5
13.9;13.0;11.0
13.4;14.2;11.3
10.2;NA;NA
13.7;10.3;9.9
14.4;12.0;11.4
15.8;12.7;12.0
15.9;13.7;12.3
16.0;13.5;12.6
16.7;13.4;13.5
15.6;12.8;12.4
15.5;14.2;12.2
15.7;14.3;13.0
16.1;14.3;13.0
15.9;12.9;12.5
15.5;14.6;12.1
13.8;14.6;11.2
15.3;13.8;11.1
16.1;13.4;12.0
15.7;13.1;12.5
16.4;15.4;13.4
16.1;16.4;12.3
16.6;15.2;13.5
16.4;15.3;13.8
16.1;16.3;12.3
